DRAMA NAME (pakistan),RELEASE_YEAR (pakistan),RATING (pakistan),VOTES (pakistan),DIRECTOR_NAME (pakistan)
1. Mere Humsafar,2021,8.4,879,Qasim Ali Mureed
2. Joyland,2022,7.6,(5.8K),Saim Sadiq
3. The Queen of My Dreams,2023,8,47,Abdullah Haris
4. The Legend of Maula Jatt,2022,8.7,(10K),Bilal Lashari
5. Nayab,2024,8.3,134,Fahim Burney
6. Kaisi Teri Khudgarzi,2022,8.1,364,Ahmed Bhatti & 
7. Deewangi,2019,7.3,312,Zeeshan Ahmed
8. Raqs-e-Bismil,2020,8,541,Wajahat Rauf
9. Teri Meri Kahaniyaan,2023,6.8,596,Syed Ahmed Kamran
10. Alif,2019,9.1,(1.8K),Haseeb Hassan
11. Mayi Ri,2023,6.8,288,Farooq Mengal
12. Standup Girl,2023,9.6,22,Arslan Naseer
13. Article 370,2020,5.6,17,Hammad Rizvi
14. Khaie,2024,9.2,60,Abis Raza
15. Tere Bin,2022,7.5,(1.9K),Syed Jari Khushnood Naqvi
16. Akhara,2024,9.7,58,Haris Qadeer
17. Ek Jhoothi Love Story,2020,8.2,962,Mehreen Jabbar
18. Khuda Aur Mohabbat 3,2021,7.7,(2.4K),Syed Wajahat Hussain
19. Parizaad,2021,9.2,(3.1K),Shehzad Kashmiri and Danish Nawaz
20. Mein,2023,7.3,92,Farhan Alam
21. Jinnah,1998,7.8,(3.1K),Jamil_Dehlavi
22. Barzakh,2023,7.9,12,Shahzad_Nawaz
23. Humsafar,2011,8.9,(4.5K),Sarmad_Sultan_Khoosat
24. Sang-e-Mah,2022,9,737,Saife_Hassan
25. Suno Chanda,2018,8.8,(2.9K),Ahson_Talish
26. Pyarey Afzal,2013,9,(2.6K),Nadeem_Baig
27. To Strike,2013,7.5,(30K),Aabis_Raza
28. The Pink Shirt,2023,8.5,14,Yasir_Nawaz
29. Zakham,2022,7.7,21,Ali_Faizan
30. In the Name of God,2007,8.3,(9.6K),Shoaib_Mansoor
31. Dil Mom Ka Diya,2018,8.7,194,Shahid_Shafaat
32. Ranjha Ranjha Kardi,2018,8.8,(1.2K),Kashif_Nisar
33. Churails,2020,8.2,(4.4K),Asim_Abbasi
34. In Flames,2023,6.3,136,Sameer_Khan
35. Khuda Aur Muhabbat,2016,8.3,405,Syed_Wajahat_Hussain
36. Mann Mayal,2016,7.9,(2.1K),Haseeb_Hassan
37. Khumar,2023,9.2,98,Jami_Mahmood
38. Hum Kahan Ke Sachay Thay,2021,6.8,250,Farooq_Rind
39. Aangan,2018,8.1,140,Mohammed_Ehteshamuddin
40. Shikaar,2023,7.8,5,Amjad_Khan
41. Ehraam-e-Junoon,2023,7.1,116,Ali_Faizan
42. Cheekh,2019,8.4,304,Badar_Mehmood
43. Jindo,2023,9.2,45,Aabis_Raza
44. Mor Chaal,2023,8.8,16,Kamran_Qureshi
45. Bhowani Junction,1956,6.4,(2.1K),Shahzad_Rafique
46. Wakhri (One of a Kind),2023,7,40,Hashim_Nadeem
47. Sher Dil,2019,5.5,674,Azfar_Jafri
48. Do Bol,2019,8.4,438,Syed_Wajahat_Hussain
49. Ghissi Pitti Mohabbat,2020,8.3,152,Ahmed_Bhatti
50. Gunjal,2023,8.6,56,Shaqielle_Khan
